auction_name,auction_player,value,summary_id,date,price,grade,lot_number,auction_house,auction_seller,auction_type,cert,tag,fk_name,fk_url,fk_count,fk_category
topps,nba-basketball,$224.50,296533,9/5/2017,2.60,8,253122987164,eBay,sports-cards-forever,Auction,24040658,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,8/17/2017,25.00,8,272767333406,eBay,allmaddensportcards2014,Buy It Now,30349140,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,6/8/2017,9.00,8,968,Sirius Sports Auctions,Sirius Sports Cards Auction # 187 - Ends 6/8/17,Auction,27286133,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,5/17/2017,7.99,7,371929411625,eBay,surfcitycards,Buy It Now,26704305,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,4/23/2017,12.10,9,352029898287,eBay,pwcc_auctions,Auction,81805965,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,2/21/2017,5.85,8,381966168050,eBay,probstein123,Auction,26890348,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,9/19/2016,10.50,9,401185797113,eBay,pwcc_auctions,Auction,26025871,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,11/16/2012,10.13,8,220,Sirius Sports Auctions,Sirius Sports Cards Auction # 68,Auction,40275161,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,8/18/2012,100.00,10,1040,"Memory Lane, Inc.",Historical Rarities,Auction,81556146,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,8/29/2020,40.00,9,183777330146,eBay,nhcardguys,Best Offer,27888603,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,7/23/2020,224.50,10,143654273496,eBay,pwcc_auctions,Auction,22595538,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,6/29/2020,19.95,8,373030003637,eBay,dhcards,Best Offer,44871166,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,5/31/2020,16.00,8,123826789445,eBay,mrcrx33,Buy It Now,03715098,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,5/21/2020,191.39,10,402257334039,eBay,pwcc_auctions,Auction,22595538,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,5/13/2020,26.99,8,163946944426,eBay,mrcrx33,Buy It Now,03715098,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
